0, 0
1, 453
2, 454
3, 476
4, 516
5, 647
6, 792
7, 969
8, 1109
9, 1113
10, 1311
11, 1416
12, 1497
13, 1594
14, 1705
15, 1921
16, 1951
17, 2063
18, 2202
19, 2400
20, 2479
21, 2569
22, 2686
23, 2861
24, 3133
25, 3137
26, 3244
27, 3279
28, 3506
29, 3524
30, 3617
31, 3862
32, 3945
33, 4045
34, 4148
35, 4260
36, 4411
37, 4705
38, 4761
39, 4662
40, 5023
41, 5020
42, 5025
43, 5310
44, 5232
45, 5313
46, 5416
47, 5617
48, 5688
49, 5791
50, 6097
51, 6026
52, 6151
53, 6278
54, 6320
55, 6448
56, 6759
57, 6710
58, 6941
59, 7137
60, 7310
61, 7200
62, 7442
63, 7893
64, 7455
65, 7603
66, 7809
67, 7978
68, 8060
69, 8057
70, 8517
71, 8331
72, 8460
73, 8615
74, 8808
75, 8957
76, 9302
77, 9276
78, 9367
79, 9626
80, 9876
81, 9817
82, 9992
83, 10124
84, 10390
85, 10670
86, 11017
87, 11136
88, 11202
89, 11285
90, 11372
91, 11327
92, 11357
93, 11600
94, 11542
95, 11420
96, 11618
97, 11722
98, 11638
99, 11813
100, 11964
101, 12194
102, 12500
103, 12879
104, 12882
105, 12892
106, 12707
107, 12782
108, 12777
109, 12897
110, 13135
111, 13176
112, 13402
113, 13585
114, 13848
115, 14228
116, 14362
117, 14585
118, 14882
119, 15272
120, 15369
121, 15168
122, 15061
123, 15132
124, 15503
125, 15268
126, 15598
127, 15688
128, 16216
129, 16202
130, 16732
131, 16805
132, 16895
133, 16927
134, 16817
135, 16702
136, 17005
137, 17100
138, 17803
139, 17994
140, 18197
141, 19017
142, 18452
143, 18351
144, 18262
145, 17848
146, 19024
147, 18210
148, 18637
149, 18666
150, 19373
151, 19966
152, 20145
153, 19737
154, 19952
155, 19794
156, 19626
157, 19737
158, 19521
159, 19615
160, 20138
161, 20397
162, 21066
163, 21336
164, 21567
165, 21512
166, 21418
167, 21238
168, 20966
169, 20793
170, 21030
171, 22042
172, 21628
173, 22715
174, 23026
175, 22733
176, 22572
177, 22296
178, 22109
179, 22024
180, 21919
181, 22175
182, 22831
183, 23171
184, 24128
185, 24317
186, 24233
187, 24010
188, 22760
189, 22774
190, 23478
191, 22692
192, 22931
193, 23012
194, 22915
195, 23404
196, 23727
197, 24489
198, 25070
199, 25259
200, 25730
